lower_limit_1,upper_limit_1,count_rate_1,lower_limit_2,upper_limit_2,count_rate_2,time: 4s
0,20,2095,0,20,2081,
20,40,2123,20,40,4146,
40,60,1998,40,60,2102,
60,80,2079,60,80,2188,
80,100,2175,80,100,2206,
100,120,2321,100,120,2293,
120,140,2615,120,140,2541,
140,160,2434,140,160,2675,
160,180,2472,160,180,2481,
180,200,2104,180,200,2369,
200,220,2028,200,220,2182,
220,240,2022,220,240,2065,
240,260,1972,240,260,1900,
260,280,1903,260,280,1957,
280,300,1887,280,300,1905,
300,320,1961,300,320,1820,
320,340,1819,320,340,1860,
340,360,1896,340,360,1854,
360,380,1912,360,380,1882,
380,400,1934,380,400,1935,
400,420,1981,400,420,1998,
420,440,2028,420,440,1901,
440,460,2084,440,460,2071,
460,480,2111,460,480,2206,
480,500,2310,480,500,2213,
500,520,2448,500,520,2487,
520,540,2626,520,540,2569,
540,560,2506,540,560,2332,
560,580,2266,560,580,1941,
580,600,1773,580,600,1645,
600,620,1701,600,620,1551,
620,640,1648,620,640,1431,
640,660,1386,640,660,1342,
660,680,1345,660,680,3291,
680,700,3300,680,700,5767,
700,720,6011,700,720,3128,
720,740,3892,720,740,649,
740,760,918,740,760,1266,
760,780,778,760,780,3693,
780,800,3205,780,800,4041,
800,820,4939,800,820,1410,
820,840,2707,820,840,285,
840,860,614,840,860,83,
860,880,120,860,880,88,
880,900,85,880,900,80,
900,920,84,900,920,53,
920,940,73,920,940,51,
940,960,75,940,960,73,
960,980,67,960,980,51,
980,1000,74,980,1000,67,
