kick x /mrad,ix / A,x/ mm,sigma_x / mm,error / mm
0,0,11.18,0.89,0.01
-0.5,-0.001,11.05,0.9,0.01
-1.5,-0.005,10.79,0.89,0.01
-3.1,-0.010,10.41,0.89,0.01
-5,-0.016,9.94,0.88,0.01
-8.1,-0.026,9.20,0.88,0.01
-10.1,-0.033,8.73,0.88,0.01
-11.9,-0.039,8.29,0.87,0.01
-14.5,-0.047,7.67,0.88,0.01
-16.5,-0.054,7.2,0.88,0.01
-20.0,-0.066,6.34,0.87,0.01
-35.4,-0.116,2.69,0.87,0.01
-49.4,-0.162,-0.79,0.9,0.01
-56.1,-0.184,-2.37,0.89,0.01
-64.4,-0.211,-4.28,0.88,0.01
2.4,0.008,11.84,0.89,0.01
1.1,0.003,11.5,0.89,0.01
